,0
0,6.0
1,-1324.0
2,-2448.0
3,-1976.0
4,-2292.0
5,-3656.0
6,-1868.0
7,-2568.0
8,-3068.0
9,-1892.0
10,-2844.0
11,-1224.0
12,-2332.0
13,-2200.0
14,-1748.0
15,-3864.0
16,-3204.0
17,-2276.0
18,-3008.0
19,-2560.0
20,-1764.0
21,-2388.0
22,-1380.0
23,-2348.0
24,-1732.0
25,-2580.0
26,-3320.0
27,-2124.0
28,-2768.0
29,-2816.0
30,-1996.0
31,-2480.0
32,-1092.0
33,-2212.0
34,-2348.0
35,-1644.0
36,-2792.0
37,-2724.0
38,-2324.0
39,-3164.0
40,-2384.0
41,-1820.0
42,-2112.0
43,-1796.0
44,-2340.0
45,-1468.0
46,-2916.0
47,-3124.0
48,-2368.0
49,-2924.0
50,-2296.0
51,-1804.0
52,-2868.0
53,-1792.0
54,-2476.0
55,-2936.0
56,-1636.0
57,-2912.0
58,-2296.0
59,-2320.0
60,-3132.0
61,-2016.0
62,-2380.0
63,-1952.0
64,-2316.0
65,-2652.0
66,-1236.0
67,-2660.0
68,-2972.0
69,-2244.0
70,-2648.0
71,-3300.0
72,-1648.0
73,-3232.0
74,-1756.0
75,-2256.0
76,-3160.0
77,-1756.0
78,-3080.0
79,-1628.0
80,-2348.0
81,-3260.0
82,-1904.0
83,-3156.0
84,-1860.0
85,-2396.0
86,-3168.0
87,-1356.0
88,-2640.0
89,-3576.0
90,-1968.0
91,-3056.0
92,-3104.0
93,-1672.0
94,-2908.0
95,-1892.0
96,-1644.0
97,-2580.0
98,-1976.0
99,-3412.0
100,-1560.0
101,-2572.0
102,-3080.0
103,-1632.0
104,-3460.0
105,-1624.0
106,-2124.0
107,-1892.0
108,-632.0
109,-2892.0
110,-3192.0
111,-1824.0
112,-3340.0
113,-2796.0
114,-1788.0
115,-2180.0
116,-2204.0
117,-1400.0
118,-2056.0
119,-2644.0
120,-3420.0
121,-1696.0
122,-3224.0
123,-2940.0
124,-2312.0
125,-2864.0
126,-1668.0
127,-2680.0
128,-2436.0
129,-292.0
130,-2584.0
131,-2796.0
132,-1848.0
133,-3204.0
134,-2408.0
135,-2448.0
136,-1676.0
137,-2520.0
138,-1644.0
139,-704.0
140,-1736.0
141,-2724.0
142,-1568.0
143,-2232.0
144,-2832.0
145,-2412.0
146,-3416.0
147,-1692.0
148,-2216.0
149,-3252.0
150,-888.0
151,-2432.0
152,-2056.0
153,-1948.0
154,-2888.0
155,-2588.0
156,-3060.0
157,-3120.0
158,-1792.0
159,-1316.0
160,-3092.0
161,-1940.0
162,-3188.0
163,-1244.0
164,-2480.0
165,-3004.0
166,-2212.0
167,-3728.0
168,-1588.0
169,-1848.0
170,-3196.0
171,-2028.0
172,-2672.0
173,-1752.0
174,-2584.0
175,-3080.0
176,-2936.0
177,-1992.0
178,-2580.0
179,-2096.0
180,-1564.0
181,-1500.0
182,-2092.0
183,-3172.0
184,-1536.0
185,-2940.0
186,-3052.0
187,-1884.0
188,-3320.0
189,-1856.0
190,-1636.0
191,-2520.0
192,-2184.0
193,-2572.0
194,-2004.0
195,-1916.0
196,-3032.0
197,-2684.0
198,-2920.0
199,-1920.0
200,-2392.0
201,-2500.0
202,-1108.0
203,-2228.0
204,-2432.0
205,-1636.0
206,-3000.0
207,-3080.0
208,-2236.0
209,-2624.0
210,-1968.0
211,-2504.0
212,-3360.0
213,-1396.0
214,-2980.0
215,-1912.0
216,-2136.0
217,-2740.0
218,-2204.0
219,-3616.0
220,-2024.0
221,-2800.0
222,-3004.0
223,-1364.0
224,-2524.0
225,-1696.0
226,-1980.0
227,-2956.0
228,-2404.0
229,-2208.0
230,-3396.0
231,-1980.0
232,-2308.0
233,-2436.0
234,-1572.0
235,-2900.0
236,-1672.0
237,-2528.0
238,-2928.0
239,-2624.0
240,-3832.0
241,-2032.0
242,-2548.0
243,-2820.0
244,-1636.0
245,-2900.0
246,-1364.0
247,-1024.0
248,-2632.0
249,-2580.0
250,-2224.0
251,-2864.0
252,-1928.0
253,-2092.0
254,-1708.0
255,-1600.0
256,-2368.0
257,-1432.0
258,-2580.0
259,-2380.0
260,-2700.0
261,-3224.0
262,-1996.0
263,-2320.0
264,-2376.0
265,-2040.0
266,-1996.0
267,-2008.0
268,-1616.0
269,-2780.0
270,-2344.0
271,-2772.0
272,-2860.0
273,-2280.0
274,-2572.0
275,-2196.0
276,-1580.0
277,-2396.0
278,-1248.0
279,-2480.0
280,-2288.0
281,-2768.0
282,-2872.0
283,-2156.0
284,-2968.0
285,-2792.0
286,-1688.0
287,-2356.0
288,-1484.0
289,-2040.0
290,-2768.0
291,-2444.0
292,-3220.0
293,-2432.0
294,-2684.0
295,-2632.0
296,-2216.0
297,-2036.0
298,-2152.0
299,-1456.0
300,-2704.0
301,-2420.0
302,-2372.0
303,-3796.0
304,-1788.0
305,-2856.0
306,-2936.0
307,-1756.0
308,-2872.0
309,-1300.0
310,-2432.0
311,-2516.0
312,-2344.0
313,-3660.0
314,-2212.0
315,-2872.0
316,-3080.0
317,-1872.0
318,-2420.0
319,-2584.0
320,-1248.0
321,-2492.0
322,-2088.0
323,-2448.0
324,-3428.0
325,-1776.0
326,-2384.0
327,-3032.0
328,-1688.0
329,-2936.0
330,-1204.0
331,-2592.0
332,-2088.0
333,-2272.0
334,-3692.0
335,-1976.0
336,-2584.0
337,-3140.0
338,-2332.0
339,-1820.0
340,-2088.0
341,-1428.0
342,-2364.0
343,-2044.0
344,-2676.0
345,-3172.0
346,-2100.0
347,-2496.0
348,-2768.0
349,-1548.0
350,-2540.0
351,-1300.0
352,-2476.0
353,-1956.0
354,-2180.0
355,-3832.0
356,-2592.0
357,-2264.0
358,-3172.0
359,-2156.0
360,-2160.0
361,-1884.0
362,-1892.0
363,-2392.0
364,-2140.0
365,-2972.0
366,-2880.0
367,-2472.0
368,-2984.0
369,-2340.0
370,-2000.0
371,-2000.0
372,-1668.0
373,-2308.0
374,-2388.0
375,-1812.0
376,-3332.0
377,-2380.0
378,-2368.0
379,-3524.0
380,-1852.0
381,-2660.0
382,-1808.0
383,-2172.0
384,-2432.0
385,-1920.0
386,-3016.0
387,-2532.0
388,-2276.0
389,-3332.0
390,-1972.0
391,-2104.0
392,-2904.0
393,-1428.0
394,-2192.0
395,-2196.0
396,-1896.0
397,-3604.0
398,-2088.0
399,-2540.0
400,-3072.0
401,-1764.0
402,-2864.0
403,-1688.0
404,-2144.0
405,-2784.0
406,-1620.0
407,-3004.0
408,-2208.0
409,-2228.0
410,-2960.0
411,-2604.0
412,-1436.0
413,-2452.0
414,-1356.0
415,-1904.0
416,-1736.0
417,-2276.0
418,-3788.0
419,-1552.0
420,-2744.0
421,-3048.0
422,-2024.0
423,-2956.0
424,-1420.0
425,-1848.0
426,-2868.0
427,-1896.0
428,-2832.0
429,-3260.0
430,-2212.0
431,-3260.0
432,-2372.0
433,-2016.0
434,-2180.0
435,-1696.0
436,-1840.0
437,-1436.0
438,-2584.0
439,-3824.0
440,-1748.0
441,-3212.0
442,-2760.0
443,-1964.0
444,-2564.0
445,-1684.0
446,-2292.0
447,-2808.0
448,-928.0
449,-2560.0
450,-2692.0
451,-2180.0
452,-3232.0
453,-2172.0
454,-2260.0
455,-1608.0
456,-2500.0
457,-1920.0
458,-668.0
459,-2864.0
460,-3468.0
461,-1920.0
462,-3284.0
463,-3004.0
464,-2228.0
465,-3328.0
466,-2068.0
467,-2188.0
468,-3336.0
469,-888.0
470,-2520.0
471,-2364.0
472,-2288.0
473,-2916.0
474,-2344.0
475,-3044.0
476,-1620.0
477,-2428.0
478,-2464.0
479,-340.0
480,-2324.0
481,-3144.0
482,-1560.0
483,-2496.0
484,-2860.0
485,-2084.0
486,-3340.0
487,-1936.0
488,-1976.0
489,-3744.0
490,-1836.0
491,-2652.0
492,-1992.0
493,-2384.0
494,-3060.0
495,-2476.0
496,-3552.0
497,-2476.0
498,-2116.0
499,-1480.0
500,-1724.0
501,-2688.0
502,-3408.0
503,-1496.0
504,-3168.0
505,-2972.0
506,-1716.0
507,-2972.0
508,-1952.0
509,-1296.0
510,-2920.0
511,-2456.0
512,-3196.0
513,-1672.0
514,-2696.0
515,-2956.0
516,-2524.0
517,-2540.0
518,-1796.0
519,-2404.0
520,-1940.0
521,-612.0
522,-2492.0
523,-2928.0
524,-1676.0
525,-3364.0
526,-2940.0
527,-2112.0
528,-2500.0
529,-2172.0
530,-1540.0
531,-1528.0
532,-2516.0
533,-2588.0
534,-1752.0
535,-2348.0
536,-2912.0
537,-2352.0
538,-3564.0
539,-1728.0
540,-2580.0
541,-2600.0
542,-536.0
543,-2532.0
544,-2048.0
545,-1740.0
546,-2900.0
547,-2656.0
548,-2828.0
549,-2020.0
550,-1960.0
551,-1728.0
552,-2912.0
553,-1956.0
554,-3308.0
555,-1540.0
556,-2824.0
557,-3008.0
558,-2320.0
559,-3676.0
560,-1768.0
561,-2388.0
562,-3184.0
563,-1536.0
564,-2820.0
565,-1580.0
566,-2352.0
567,-2548.0
568,-2972.0
569,-2180.0
570,-2988.0
571,-2172.0
572,-1656.0
573,-1812.0
574,-1816.0
575,-2884.0
576,-1384.0
577,-2600.0
578,-2824.0
579,-2168.0
580,-3548.0
581,-2076.0
582,-1880.0
583,-2412.0
584,-1728.0
585,-2960.0
586,-1288.0
587,-1316.0
588,-2836.0
589,-2720.0
590,-2572.0
591,-2644.0
592,-2160.0
593,-2200.0
594,-1348.0
595,-1692.0
596,-2248.0
597,-1344.0
598,-2812.0
599,-2552.0
600,-2396.0
601,-3124.0
602,-1964.0
603,-2024.0
604,-1832.0
605,-1560.0
606,-2668.0
607,-1824.0
608,-2116.0
609,-2716.0
610,-2336.0
611,-3136.0
612,-2304.0
613,-2440.0
614,-2992.0
615,-1520.0
616,-2164.0
617,-2036.0
618,-1896.0
619,-2912.0
620,-2520.0
621,-2696.0
622,-2636.0
623,-1896.0
624,-2888.0
625,-2756.0
626,-1784.0
627,-2896.0
628,-1408.0
629,-2416.0
630,-2824.0
631,-2392.0
632,-3604.0
633,-2344.0
634,-2872.0
635,-2764.0
636,-1852.0
637,-2528.0
638,-1688.0
639,-1928.0
640,-2772.0
641,-2476.0
642,-2412.0
643,-3508.0
644,-1760.0
645,-2604.0
646,-2400.0
647,-1676.0
648,-2640.0
649,-1108.0
650,-2496.0
651,-2392.0
652,-2428.0
653,-3864.0
654,-1984.0
655,-2752.0
656,-2712.0
657,-1760.0
658,-2472.0
659,-2024.0
660,-1396.0
661,-2440.0
662,-2476.0
663,-2364.0
664,-3128.0
665,-2128.0
666,-2656.0
667,-2492.0
668,-1464.0
669,-2460.0
670,-1300.0
671,-2436.0
672,-2380.0
673,-2408.0
674,-3648.0
675,-1728.0
676,-2640.0
677,-2680.0
678,-2140.0
679,-2008.0
680,-1788.0
681,-1664.0
682,-2596.0
683,-2004.0
684,-2804.0
685,-2688.0
686,-2256.0
687,-2512.0
688,-2300.0
689,-1780.0
690,-2128.0
691,-1440.0
692,-2580.0
693,-2236.0
694,-2708.0
695,-3244.0
696,-2184.0
697,-2672.0
698,-3388.0
699,-1816.0
700,-2340.0
701,-1700.0
702,-1984.0
703,-2456.0
704,-1888.0
705,-3364.0
706,-2436.0
707,-2536.0
708,-2956.0
709,-2092.0
710,-2012.0
711,-1824.0
712,-1760.0
713,-2348.0
714,-2040.0
715,-2228.0
716,-3504.0
717,-2176.0
718,-2656.0
719,-3324.0
720,-1964.0
721,-2632.0
722,-1580.0
723,-2184.0
724,-2436.0
725,-1908.0
726,-3732.0
727,-2216.0
728,-2440.0
729,-3232.0
730,-1704.0
731,-2616.0
732,-2564.0
733,-1148.0
734,-2424.0
735,-1836.0
736,-2356.0
737,-3656.0
738,-1836.0
739,-2624.0
740,-2924.0
741,-1868.0
742,-2588.0
743,-1516.0
744,-2484.0
745,-2020.0
746,-1988.0
747,-3528.0
748,-2032.0
749,-2420.0
750,-3092.0
751,-2308.0
752,-1864.0
753,-2292.0
754,-1500.0
755,-2064.0
756,-1596.0
757,-2376.0
758,-3488.0
759,-1896.0
760,-3124.0
761,-2684.0
762,-1672.0
763,-2296.0
764,-1476.0
765,-2056.0
766,-1696.0
767,-2372.0
768,-3628.0
769,-2624.0
770,-2468.0
771,-3120.0
772,-2096.0
773,-2212.0
774,-2036.0
775,-2076.0
776,-2340.0
777,-1408.0
778,-2660.0
779,-3316.0
780,-2236.0
781,-3136.0
782,-2416.0
783,-1760.0
784,-2160.0
785,-1896.0
786,-2036.0
787,-3240.0
788,-1300.0
789,-3072.0
790,-1972.0
791,-2380.0
792,-3216.0
793,-2156.0
794,-2804.0
795,-1844.0
796,-2492.0
797,-2944.0
798,-1292.0
799,-2520.0
800,-2888.0
801,-2160.0
802,-3024.0
803,-2208.0
804,-1880.0
805,-3148.0
806,-2080.0
807,-1908.0
808,-3300.0
809,-1652.0
810,-2904.0
811,-1496.0
812,-2152.0
813,-3008.0
814,-1708.0
815,-3324.0
816,-1992.0
817,-2236.0
818,-3416.0
819,-1064.0
820,-2416.0
821,-2180.0
822,-1984.0
823,-3144.0
824,-2684.0
825,-1968.0
826,-3020.0
827,-2000.0
828,-1616.0
829,-2668.0
830,-2292.0
831,-3176.0
832,-1700.0
833,-2520.0
834,-3224.0
835,-1864.0
836,-3376.0
837,-1976.0
838,-2056.0
839,-3584.0
840,-1356.0
841,-2732.0
842,-3308.0
843,-1708.0
844,-3380.0
845,-2584.0
846,-2004.0
847,-2300.0
848,-2132.0
849,-1352.0
850,-1348.0
851,-2624.0
852,-3200.0
853,-1768.0
854,-3096.0
855,-2984.0
856,-1836.0
857,-3040.0
858,-1944.0
859,-2400.0
860,-2704.0
861,-392.0
862,-2476.0
863,-2608.0
864,-1660.0
865,-2956.0
866,-2660.0
867,-2256.0
868,-1784.0
869,-2220.0
870,-1668.0
871,-584.0
872,-2640.0
873,-2844.0
874,-1672.0
875,-3312.0
876,-2932.0
877,-2284.0
878,-3752.0
879,-1640.0
880,-2348.0
881,-3336.0
882,-992.0
883,-2356.0
884,-1924.0
885,-1948.0
886,-2900.0
887,-2740.0
888,-3228.0
889,-1908.0
890,-2816.0
891,-2860.0
892,-912.0
893,-2228.0
894,-3200.0
895,-1320.0
896,-2632.0
897,-3260.0
898,-1884.0
899,-3768.0
900,-1780.0
901,-1832.0
902,-3268.0
903,-1840.0
904,-2956.0
905,-1576.0
906,-2476.0
907,-3096.0
908,-2316.0
909,-3924.0
910,-2320.0
911,-2188.0
912,-1848.0
913,-1052.0
914,-2088.0
915,-2612.0
916,-1176.0
917,-2896.0
918,-3192.0
919,-1936.0
920,-3132.0
921,-1964.0
922,-1756.0
923,-2096.0
924,-1848.0
925,-2980.0
926,-1668.0
927,-2808.0
928,-2776.0
929,-2584.0
930,-3236.0
931,-2120.0
932,-2724.0
933,-2544.0
934,-1120.0
935,-2276.0
936,-2052.0
937,-1696.0
938,-2852.0
939,-2824.0
940,-2644.0
941,-2488.0
942,-2488.0
943,-2252.0
944,-1404.0
945,-1868.0
946,-2416.0
947,-1748.0
948,-2296.0
949,-2988.0
950,-2304.0
951,-3740.0
952,-2116.0
953,-2688.0
954,-3100.0
955,-1736.0
956,-2584.0
957,-1708.0
958,-1948.0
959,-3068.0
960,-2504.0
961,-3540.0
962,-2176.0
963,-2752.0
964,-2824.0
965,-2232.0
966,-1700.0
967,-2764.0
968,-1332.0
969,-2532.0
970,-2792.0
971,-2776.0
972,-3732.0
973,-2096.0
974,-2576.0
975,-2580.0
976,-1660.0
977,-2684.0
978,-1484.0
979,-2448.0
980,-2840.0
981,-2584.0
982,-3900.0
983,-2988.0
984,-1788.0
985,-2340.0
986,-2080.0
987,-1380.0
988,-2624.0
989,-1224.0
990,-2548.0
991,-2612.0
992,-2604.0
993,-3208.0
994,-1904.0
995,-2436.0
996,-2356.0
997,-1456.0
998,-2460.0
999,-1332.0
1000,-2544.0
1001,-2624.0
1002,-2308.0
1003,-2832.0
1004,-2612.0
1005,-2548.0
1006,-2404.0
1007,-2200.0
1008,-1528.0
1009,-2304.0
1010,-1392.0
1011,-2568.0
1012,-2292.0
1013,-2604.0
1014,-2956.0
1015,-2184.0
1016,-2572.0
1017,-2484.0
1018,-1716.0
1019,-2436.0
1020,-1436.0
1021,-2060.0
1022,-2680.0
1023,-2472.0
1024,-3480.0
1025,-2292.0
1026,-2872.0
1027,-2996.0
1028,-2212.0
1029,-1968.0
1030,-2032.0
1031,-1628.0
1032,-2400.0
1033,-2280.0
1034,-2864.0
1035,-2756.0
1036,-2204.0
1037,-2860.0
1038,-2992.0
1039,-1764.0
1040,-2560.0
1041,-1500.0
1042,-2252.0
1043,-2268.0
1044,-2120.0
1045,-3940.0
1046,-2132.0
1047,-2680.0
1048,-3120.0
1049,-1672.0
1050,-2544.0
1051,-1540.0
1052,-2144.0
1053,-2320.0
1054,-2272.0
1055,-2460.0
1056,-3304.0
1057,-1888.0
1058,-2548.0
1059,-2976.0
1060,-1784.0
1061,-2816.0
1062,-1440.0
1063,-2436.0
1064,-2212.0
1065,-2208.0
1066,-3904.0
1067,-1928.0
1068,-2708.0
1069,-3304.0
1070,-1812.0
1071,-2980.0
1072,-1524.0
1073,-1368.0
1074,-2568.0
1075,-2112.0
1076,-2736.0
1077,-3132.0
1078,-2188.0
1079,-2684.0
1080,-2644.0
1081,-1716.0
1082,-258.0
1083,-1432.0
1084,-2400.0
1085,-1936.0
1086,-2520.0
1087,-3520.0
1088,-2028.0
1089,-2632.0
1090,-3172.0
1091,-2052.0
1092,-1904.0
1093,-2028.0
1094,-1820.0
1095,-2376.0
1096,-1724.0
1097,-2856.0
1098,-2984.0
1099,-2356.0
1100,-3036.0
1101,-2296.0
1102,-1636.0
1103,-2188.0
1104,-1552.0
1105,-2140.0
1106,-1548.0
1107,-2696.0
1108,-3472.0
1109,-2024.0
1110,-2304.0
1111,-3204.0
1112,-1812.0
1113,-2600.0
1114,-1768.0
1115,-2464.0
1116,-2612.0
1117,-1532.0
1118,-3008.0
1119,-2548.0
1120,-2116.0
1121,-3160.0
1122,-1924.0
1123,-2008.0
1124,-2016.0
1125,-1884.0
1126,-2184.0
1127,-2180.0
1128,-1836.0
1129,-3812.0
1130,-1688.0
1131,-2428.0
1132,-3304.0
1133,-1848.0
1134,-3132.0
1135,-1664.0
1136,-2188.0
1137,-2976.0
1138,-1716.0
1139,-2840.0
1140,-2012.0
1141,-2292.0
1142,-3424.0
1143,-2048.0
1144,-1860.0
1145,-2212.0
1146,-1648.0
1147,-1892.0
1148,-1772.0
1149,-2472.0
1150,-3656.0
1151,-1632.0
1152,-3028.0
1153,-3156.0
1154,-1884.0
1155,-3168.0
1156,-1784.0
1157,-1888.0
1158,-2856.0
1159,-1868.0
1160,-3248.0
1161,-1424.0
1162,-1984.0
1163,-3136.0
1164,-2092.0
1165,-2176.0
1166,-1776.0
1167,-2212.0
1168,-1624.0
1169,-1168.0
1170,-2868.0
1171,-3536.0
1172,-1936.0
1173,-3296.0
1174,-2632.0
1175,-1904.0
1176,-2560.0
1177,-1964.0
1178,-1592.0
1179,-2412.0
1180,-840.0
1181,-2488.0
1182,-2928.0
1183,-1844.0
1184,-3084.0
1185,-2372.0
1186,-2692.0
1187,-1828.0
1188,-2500.0
1189,-2156.0
1190,-624.0
1191,-2864.0
1192,-3224.0
1193,-1988.0
1194,-3372.0
1195,-2432.0
1196,-2248.0
1197,-3396.0
1198,-1880.0
1199,-2036.0
1200,-3692.0
1201,-1344.0
1202,-2328.0
1203,-2284.0
1204,-2056.0
1205,-2984.0
1206,-2356.0
1207,-2992.0
1208,-1776.0
1209,-2420.0
1210,-2824.0
1211,-464.0
1212,-2476.0
1213,-2424.0
1214,-1296.0
1215,-2984.0
1216,-3108.0
1217,-1760.0
1218,-3460.0
1219,-1860.0
1220,-1376.0
1221,-3888.0
1222,-2016.0
1223,-2872.0
1224,-1492.0
1225,-2528.0
1226,-3256.0
1227,-2544.0
1228,-3776.0
1229,-1688.0
1230,-1968.0
1231,-3592.0
1232,-1248.0
1233,-2544.0
1234,-3232.0
1235,-1456.0
1236,-3204.0
1237,-2904.0
1238,-1960.0
1239,-2964.0
1240,-1932.0
1241,-1352.0
1242,-2632.0
1243,-2380.0
1244,-3520.0
1245,-1272.0
1246,-2956.0
1247,-2972.0
1248,-2108.0
1249,-3260.0
1250,-1688.0
1251,-2780.0
1252,-2136.0
1253,-616.0
1254,-2556.0
1255,-2420.0
1256,-1856.0
1257,-3116.0
1258,-2860.0
1259,-2356.0
1260,-2324.0
1261,-2272.0
1262,-1900.0
1263,-1152.0
1264,-2192.0
1265,-2964.0
1266,-1348.0
1267,-2864.0
1268,-2904.0
1269,-2416.0
1270,-3560.0
1271,-2012.0
1272,-2596.0
1273,-3128.0
1274,-852.0
1275,-2740.0
1276,-1940.0
1277,-1860.0
1278,-2760.0
1279,-2552.0
1280,-3256.0
1281,-1952.0
1282,-2628.0
1283,-2696.0
1284,-896.0
1285,-2064.0
1286,-2776.0
1287,-1448.0
1288,-2644.0
1289,-2952.0
1290,-2292.0
1291,-3548.0
1292,-1972.0
1293,-2092.0
1294,-2960.0
1295,-1564.0
1296,-2880.0
1297,-1656.0
1298,-2364.0
1299,-2928.0
1300,-2368.0
1301,-3732.0
1302,-2992.0
1303,-1924.0
1304,-2092.0
1305,-1768.0
1306,-1692.0
1307,-2700.0
1308,-1192.0
1309,-2656.0
1310,-2736.0
1311,-2312.0
1312,-3176.0
1313,-1932.0
1314,-2132.0
1315,-2060.0
1316,-1584.0
1317,-2708.0
1318,-1504.0
1319,-2436.0
1320,-2656.0
1321,-2632.0
1322,-2908.0
1323,-2708.0
1324,-2200.0
1325,-2604.0
1326,-1672.0
1327,-1684.0
1328,-2228.0
1329,-1204.0
1330,-2724.0
1331,-2316.0
1332,-2360.0
1333,-2940.0
1334,-1988.0
1335,-2256.0
1336,-1972.0
1337,-1628.0
1338,-2792.0
1339,-1604.0
1340,-2292.0
1341,-2808.0
1342,-2528.0
1343,-3352.0
1344,-2312.0
1345,-2824.0
1346,-2724.0
1347,-1872.0
1348,-2052.0
1349,-1960.0
1350,-1756.0
1351,-2804.0
1352,-2396.0
1353,-2956.0
1354,-2476.0
1355,-2284.0
1356,-2712.0
1357,-2508.0
1358,-1500.0
1359,-2736.0
1360,-1268.0
1361,-2352.0
1362,-2652.0
1363,-2444.0
1364,-3764.0
1365,-1824.0
1366,-2868.0
1367,-2848.0
1368,-1732.0
1369,-2428.0
1370,-1636.0
1371,-2060.0
1372,-2448.0
1373,-2256.0
1374,-3428.0
1375,-3276.0
1376,-2148.0
1377,-2564.0
1378,-2580.0
1379,-1572.0
1380,-2856.0
1381,-1328.0
1382,-2552.0
1383,-2488.0
1384,-2344.0
1385,-3660.0
1386,-1776.0
1387,-2752.0
1388,-2808.0
1389,-1740.0
1390,-2672.0
1391,-1252.0
1392,-2552.0
1393,-2588.0
1394,-1968.0
1395,-2528.0
1396,-2724.0
1397,-2168.0
1398,-2356.0
1399,-2408.0
1400,-1752.0
1401,-2436.0
1402,-1308.0
1403,-2268.0
1404,-2192.0
1405,-2424.0
1406,-3388.0
1407,-1960.0
1408,-2544.0
1409,-2784.0
1410,-1664.0
1411,-2008.0
1412,-1780.0
1413,-1732.0
1414,-2440.0
1415,-1948.0
1416,-2876.0
1417,-2708.0
1418,-2336.0
1419,-2872.0
1420,-1940.0
1421,-1988.0
1422,-1988.0
1423,-1680.0
1424,-2492.0
1425,-2092.0
1426,-2656.0
1427,-3060.0
1428,-2160.0
1429,-2824.0
1430,-3236.0
1431,-1704.0
1432,-2428.0
1433,-1780.0
1434,-2148.0
1435,-2536.0
1436,-1656.0
1437,-3348.0
1438,-2548.0
1439,-2444.0
1440,-3040.0
1441,-1688.0
1442,-2296.0
1443,-1852.0
1444,-1808.0
1445,-2456.0
1446,-1812.0
1447,-2120.0
1448,-3688.0
1449,-1708.0
1450,-2668.0
1451,-3208.0
1452,-1692.0
1453,-2916.0
1454,-1384.0
1455,-2348.0
1456,-2192.0
1457,-1876.0
1458,-3752.0
1459,-2012.0
1460,-2328.0
1461,-3176.0
1462,-1980.0
1463,-2664.0
1464,-1552.0
1465,-1420.0
1466,-2376.0
1467,-1924.0
1468,-2372.0
1469,-3800.0
1470,-1888.0
1471,-2980.0
1472,-2844.0
1473,-1896.0
1474,-2344.0
1475,-1252.0
1476,-2228.0
1477,-1872.0
1478,-2096.0
1479,-3652.0
1480,-1772.0
1481,-2536.0
1482,-3088.0
1483,-2456.0
1484,-2044.0
1485,-1896.0
1486,-1852.0
1487,-2204.0
1488,-1484.0
1489,-2432.0
1490,-3460.0
1491,-2272.0
1492,-2968.0
1493,-2628.0
1494,-1760.0
1495,-2244.0
1496,-1716.0
1497,-1844.0
1498,-1504.0
1499,-2568.0
1500,-2932.0
1501,-2380.0
1502,-2232.0
1503,-3004.0
1504,-2060.0
1505,-2284.0
1506,-1764.0
1507,-2244.0
1508,-2452.0
1509,-1004.0
1510,-2652.0
1511,-2868.0
1512,-2388.0
1513,-3324.0
1514,-2460.0
1515,-1772.0
1516,-1860.0
1517,-1904.0
1518,-2152.0
1519,-3220.0
1520,-1456.0
1521,-2948.0
1522,-1744.0
1523,-2380.0
1524,-3384.0
1525,-1896.0
1526,-3128.0
1527,-2080.0
1528,-2252.0
1529,-3324.0
1530,-960.0
1531,-2584.0
1532,-2232.0
1533,-2244.0
1534,-3096.0
1535,-2148.0
1536,-1824.0
1537,-2944.0
1538,-1980.0
1539,-1792.0
1540,-2812.0
1541,-2128.0
1542,-3024.0
1543,-1416.0
1544,-2412.0
1545,-3096.0
1546,-1852.0
1547,-3396.0
1548,-2068.0
1549,-2188.0
1550,-3584.0
1551,-1128.0
1552,-2668.0
1553,-1968.0
1554,-1856.0
1555,-3340.0
1556,-2700.0
1557,-1696.0
1558,-2504.0
1559,-1656.0
1560,-1300.0
1561,-1960.0
1562,-2640.0
1563,-3276.0
1564,-1740.0
1565,-3040.0
1566,-2864.0
1567,-1920.0
1568,-3160.0
1569,-1956.0
1570,-1564.0
1571,-3152.0
1572,-384.0
1573,-2524.0
1574,-2756.0
1575,-1876.0
1576,-3240.0
1577,-2592.0
1578,-2112.0
1579,-2164.0
1580,-2208.0
1581,-1604.0
1582,-1088.0
1583,-2760.0
1584,-3212.0
1585,-1572.0
1586,-3260.0
1587,-3060.0
1588,-1912.0
1589,-3580.0
1590,-1664.0
1591,-2524.0
1592,-3140.0
1593,-524.0
1594,-2488.0
1595,-2208.0
1596,-1968.0
1597,-3068.0
1598,-2716.0
1599,-2956.0
1600,-1720.0
1601,-2460.0
1602,-2468.0
