,0
0,-1232.0
1,-1776.0
2,-1252.0
3,-2504.0
4,-2024.0
5,-1724.0
6,-3064.0
7,-2980.0
8,-3232.0
9,-1972.0
10,-2400.0
11,-2544.0
12,-724.0
13,-2192.0
14,-2340.0
15,-1220.0
16,-2948.0
17,-2948.0
18,-2332.0
19,-2448.0
20,-1604.0
21,-2456.0
22,-3428.0
23,-1920.0
24,-3212.0
25,-1452.0
26,-2372.0
27,-2808.0
28,-2480.0
29,-3904.0
30,-2004.0
31,-2752.0
32,-3228.0
33,-1552.0
34,-2564.0
35,-2152.0
36,-1824.0
37,-2796.0
38,-2680.0
39,-2224.0
40,-3476.0
41,-1600.0
42,-2064.0
43,-2064.0
44,-1752.0
45,-3108.0
46,-1108.0
47,-2892.0
48,-2788.0
49,-2268.0
50,-3872.0
51,-1876.0
52,-2844.0
53,-2472.0
54,-2068.0
55,-2824.0
56,-1516.0
57,-2568.0
58,-2628.0
59,-2480.0
60,-2480.0
61,-2824.0
62,-2140.0
63,-2276.0
64,-1788.0
65,-1528.0
66,-2688.0
67,-1132.0
68,-2776.0
69,-2340.0
70,-2476.0
71,-3352.0
72,-1464.0
73,-2508.0
74,-2120.0
75,-1644.0
76,-2232.0
77,-2088.0
78,-1820.0
79,-2912.0
80,-2360.0
81,-2944.0
82,-2724.0
83,-2496.0
84,-2444.0
85,-2040.0
86,-1692.0
87,-2216.0
88,-1560.0
89,-2532.0
90,-2296.0
91,-2680.0
92,-2872.0
93,-2112.0
94,-2464.0
95,-2740.0
96,-2092.0
97,-2448.0
98,-1840.0
99,-2108.0
100,-2692.0
101,-2612.0
102,-3280.0
103,-2600.0
104,-2848.0
105,-3048.0
106,-2144.0
107,-1892.0
108,-2052.0
109,-2028.0
110,-2732.0
111,-2308.0
112,-3008.0
113,-3496.0
114,-1864.0
115,-2944.0
116,-2580.0
117,-1832.0
118,-2584.0
119,-1516.0
120,-2300.0
121,-2464.0
122,-2428.0
123,-3616.0
124,-2316.0
125,-2852.0
126,-3072.0
127,-1984.0
128,-2392.0
129,-1760.0
130,-2112.0
131,-2260.0
132,-1768.0
133,-2472.0
134,-3484.0
135,-1672.0
136,-2804.0
137,-2612.0
138,-2024.0
139,-2736.0
140,-1084.0
141,-2496.0
142,-2144.0
143,-2312.0
144,-3644.0
145,-1728.0
146,-2932.0
147,-2796.0
148,-2040.0
149,-2532.0
150,-1668.0
151,-1268.0
152,-2328.0
153,-1940.0
154,-2528.0
155,-3320.0
156,-1840.0
157,-2692.0
158,-2608.0
159,-1612.0
160,-2560.0
161,-996.0
162,-2664.0
163,-1840.0
164,-2276.0
165,-3508.0
166,-1544.0
167,-2820.0
168,-3196.0
169,-2324.0
170,-1876.0
171,-2144.0
172,-1796.0
173,-2420.0
174,-2068.0
175,-2804.0
176,-3208.0
177,-2472.0
178,-2704.0
179,-2688.0
180,-1760.0
181,-2452.0
182,-1228.0
183,-2324.0
184,-1848.0
185,-2392.0
186,-3440.0
187,-2324.0
188,-2636.0
189,-3404.0
190,-2080.0
191,-2256.0
192,-2016.0
193,-2348.0
194,-2448.0
195,-1692.0
196,-3296.0
197,-2872.0
198,-2548.0
199,-3100.0
200,-2368.0
201,-1784.0
202,-2024.0
203,-1868.0
204,-2088.0
205,-1660.0
206,-1900.0
207,-3520.0
208,-2080.0
209,-2508.0
210,-3180.0
211,-1892.0
212,-1892.0
213,-2060.0
214,-2440.0
215,-2800.0
216,-1636.0
217,-3068.0
218,-2260.0
219,-2516.0
220,-3332.0
221,-2132.0
222,-2416.0
223,-1932.0
224,-2340.0
225,-2320.0
226,-2160.0
227,-2284.0
228,-3528.0
229,-1836.0
230,-2676.0
231,-3132.0
232,-1936.0
233,-3200.0
234,-1952.0
235,-2540.0
236,-2800.0
237,-1748.0
238,-3036.0
239,-1992.0
240,-2192.0
241,-3212.0
242,-1844.0
243,-1788.0
244,-2560.0
245,-1624.0
246,-1552.0
247,-1940.0
248,-2456.0
249,-3660.0
250,-1560.0
251,-2868.0
252,-2852.0
253,-1860.0
254,-3248.0
255,-1728.0
256,-2240.0
257,-2892.0
258,-1900.0
259,-3064.0
260,-1692.0
261,-2468.0
262,-3168.0
263,-2932.0
264,-1824.0
265,-2144.0
266,-1876.0
267,-1456.0
268,-1516.0
269,-2684.0
270,-3512.0
271,-1784.0
272,-3176.0
273,-2820.0
274,-1696.0
275,-2892.0
276,-1708.0
277,-1616.0
278,-2624.0
279,-2456.0
280,-3356.0
281,-2732.0
282,-1884.0
283,-3320.0
284,-2612.0
285,-2288.0
286,-1544.0
287,-2484.0
288,-1720.0
289,-732.0
290,-2716.0
291,-2936.0
292,-2100.0
293,-3172.0
294,-3024.0
295,-1744.0
296,-2432.0
297,-1892.0
298,-1188.0
299,-3644.0
300,-1228.0
301,-2748.0
302,-1872.0
303,-1884.0
304,-3208.0
305,-2576.0
306,-3368.0
307,-1652.0
308,-2712.0
309,-2656.0
310,-460.0
311,-2496.0
312,-2384.0
313,-1964.0
314,-3100.0
315,-2928.0
316,-2524.0
317,-3984.0
318,-1716.0
319,-2004.0
320,-3380.0
321,-2024.0
322,-3196.0
323,-1716.0
324,-2372.0
325,-3068.0
326,-2392.0
327,-4120.0
328,-1812.0
329,-2656.0
330,-3556.0
331,-1224.0
332,-2844.0
333,-1764.0
334,-1980.0
335,-2972.0
336,-2868.0
337,-2064.0
338,-3660.0
339,-1660.0
340,-1548.0
341,-2644.0
342,-2172.0
343,-3244.0
344,-1428.0
345,-3012.0
346,-2988.0
347,-2164.0
348,-4044.0
349,-1880.0
350,-2156.0
351,-3132.0
352,-1968.0
353,-3292.0
354,-2696.0
355,-1216.0
356,-2736.0
357,-2912.0
358,-2096.0
359,-3056.0
360,-1980.0
361,-1904.0
362,-1476.0
363,-1796.0
364,-2728.0
365,-996.0
366,-3032.0
367,-2708.0
368,-2052.0
369,-3408.0
370,-1804.0
371,-2196.0
372,-2836.0
373,-1380.0
374,-2268.0
375,-2128.0
376,-1868.0
377,-2788.0
378,-2928.0
379,-3080.0
380,-2444.0
381,-2536.0
382,-2360.0
383,-1576.0
384,-1660.0
385,-2264.0
386,-1444.0
387,-2788.0
388,-2480.0
389,-2404.0
390,-3156.0
391,-2148.0
392,-2888.0
393,-2708.0
394,-1740.0
395,-2880.0
396,-1616.0
397,-2516.0
398,-2884.0
399,-2752.0
400,-3688.0
401,-2284.0
402,-2960.0
403,-2660.0
404,-2036.0
405,-2280.0
406,-1952.0
407,-2052.0
408,-2656.0
409,-2480.0
410,-2428.0
411,-3568.0
412,-1872.0
413,-2948.0
414,-2444.0
415,-1600.0
416,-2940.0
417,-1240.0
418,-2536.0
419,-2516.0
420,-2548.0
421,-3784.0
422,-2100.0
423,-3088.0
424,-2724.0
425,-1968.0
426,-2348.0
427,-1688.0
428,-2584.0
429,-2792.0
430,-2232.0
431,-2612.0
432,-3292.0
433,-1788.0
434,-2780.0
435,-2360.0
436,-1780.0
437,-2916.0
438,-1084.0
439,-2624.0
440,-2308.0
441,-2456.0
442,-3688.0
443,-1940.0
444,-2948.0
445,-2588.0
446,-1796.0
447,-1592.0
448,-2292.0
449,-1236.0
450,-2664.0
451,-2120.0
452,-2544.0
453,-3036.0
454,-2020.0
455,-2684.0
456,-2352.0
457,-1556.0
458,-2468.0
459,-1208.0
460,-2528.0
461,-1968.0
462,-2624.0
463,-3448.0
464,-1828.0
465,-2888.0
466,-2728.0
467,-2376.0
468,-1864.0
469,-2012.0
470,-1588.0
471,-2548.0
472,-2088.0
473,-2908.0
474,-2980.0
475,-2308.0
