,0
0,24.0
1,-2868.0
2,-1708.0
3,-2768.0
4,-2956.0
5,-2100.0
6,-3212.0
7,-2116.0
8,-1976.0
9,-2064.0
10,-1724.0
11,-2436.0
12,-1840.0
13,-2480.0
14,-3356.0
15,-2308.0
16,-2220.0
17,-3672.0
18,-2088.0
19,-2948.0
20,-2168.0
21,-2388.0
22,-2948.0
23,-1436.0
24,-2944.0
25,-2588.0
26,-2188.0
27,-3692.0
28,-2000.0
29,-2672.0
30,-2032.0
31,-1888.0
32,-2716.0
33,-2128.0
34,-1756.0
35,-3236.0
36,-2264.0
37,-2608.0
38,-3432.0
39,-2200.0
40,-2724.0
41,-2352.0
42,-2236.0
43,-2812.0
44,-1472.0
45,-2880.0
46,-2192.0
47,-2260.0
48,-3604.0
49,-1908.0
50,-3092.0
51,-2072.0
52,-2284.0
53,-2216.0
54,-1840.0
55,-1964.0
56,-3428.0
57,-2148.0
58,-2708.0
59,-3152.0
60,-2396.0
61,-2740.0
62,-2356.0
63,-2176.0
64,-2260.0
65,-1568.0
66,-2964.0
67,-2396.0
68,-2556.0
69,-3604.0
70,-2200.0
71,-2936.0
72,-2432.0
73,-1944.0
74,-2008.0
75,-1704.0
76,-1980.0
77,-3504.0
78,-1724.0
79,-3112.0
80,-2840.0
81,-2428.0
82,-2876.0
83,-2316.0
84,-2036.0
85,-2256.0
86,-2036.0
87,-3188.0
88,-2164.0
89,-2688.0
90,-3056.0
91,-2604.0
92,-2636.0
93,-2380.0
94,-2232.0
95,-2484.0
96,-1396.0
97,-2300.0
98,-3364.0
99,-1924.0
100,-3480.0
101,-2884.0
102,-2404.0
103,-2724.0
104,-2124.0
105,-2124.0
106,-1852.0
107,-2268.0
108,-3292.0
109,-2032.0
110,-3024.0
111,-3564.0
112,-2368.0
113,-3092.0
114,-2200.0
115,-2116.0
116,-2736.0
117,-896.0
118,-2376.0
119,-2844.0
120,-1984.0
121,-3272.0
122,-2888.0
123,-2628.0
124,-2856.0
125,-2244.0
126,-2368.0
127,-1332.0
128,-2244.0
129,-2844.0
130,-2216.0
131,-2088.0
132,-3152.0
133,-2360.0
134,-3416.0
135,-2040.0
136,-2368.0
137,-3232.0
138,-688.0
139,-2432.0
140,-2404.0
141,-2036.0
142,-3372.0
143,-2824.0
144,-3092.0
145,-2444.0
146,-2336.0
147,-2004.0
148,-2644.0
149,-1704.0
150,-2608.0
151,-1972.0
152,-2356.0
153,-2996.0
154,-2352.0
155,-3364.0
156,-2136.0
157,-2328.0
158,-3216.0
159,-1220.0
160,-2768.0
161,-2120.0
162,-1936.0
163,-2796.0
164,-2468.0
165,-3376.0
166,-2240.0
167,-2196.0
168,-2032.0
169,-2256.0
170,-2172.0
171,-2648.0
172,-1804.0
173,-2468.0
174,-2744.0
175,-2372.0
176,-3064.0
177,-2436.0
178,-2028.0
179,-2808.0
180,-1700.0
181,-2756.0
182,-1904.0
183,-1856.0
184,-2748.0
185,-2268.0
186,-2604.0
187,-2948.0
188,-2252.0
189,-2404.0
190,-1512.0
191,-1944.0
192,-2748.0
193,-1540.0
194,-2908.0
195,-2976.0
196,-2468.0
197,-3032.0
198,-2552.0
199,-2248.0
200,-1924.0
201,-2144.0
202,-2596.0
203,-1788.0
204,-2452.0
205,-2952.0
206,-2704.0
207,-3144.0
208,-2556.0
209,-2188.0
210,-3108.0
211,-1560.0
212,-2140.0
213,-2500.0
214,-1656.0
215,-2996.0
216,-2564.0
217,-2608.0
218,-2676.0
219,-2204.0
220,-2536.0
221,-1600.0
222,-1820.0
223,-2424.0
224,-1592.0
225,-1872.0
226,-2924.0
227,-2344.0
228,-3428.0
229,-2380.0
230,-2356.0
231,-3060.0
232,-1516.0
233,-2408.0
234,-2244.0
235,-1584.0
236,-2928.0
237,-2180.0
238,-2924.0
239,-5122.0
240,-2088.0
241,-2884.0
242,-1804.0
243,-2108.0
244,-2876.0
245,-1708.0
246,-2336.0
247,-3148.0
248,-2720.0
249,-3820.0
250,-2328.0
251,-2792.0
252,-3232.0
253,-1908.0
254,-2680.0
255,-1992.0
256,-2068.0
257,-2768.0
258,-2352.0
259,-3428.0
260,-2632.0
261,-2632.0
262,-2804.0
263,-2628.0
264,-1864.0
265,-2492.0
266,-1740.0
267,-2116.0
268,-2732.0
269,-2664.0
270,-3752.0
271,-2444.0
272,-2728.0
273,-2896.0
274,-1632.0
275,-2788.0
276,-1676.0
277,-2328.0
278,-2784.0
279,-2256.0
280,-3796.0
281,-2488.0
282,-2856.0
283,-2544.0
284,-2688.0
285,-1948.0
286,-2100.0
287,-1600.0
288,-2276.0
289,-2720.0
290,-2744.0
291,-3384.0
292,-2376.0
293,-2836.0
294,-2892.0
295,-1672.0
296,-2612.0
297,-1920.0
298,-2176.0
299,-2536.0
300,-2316.0
301,-3888.0
302,-5633.0
303,-2292.0
304,-2908.0
305,-2324.0
306,-1932.0
307,-2152.0
308,-1552.0
309,-2536.0
310,-2360.0
311,-2884.0
312,-3036.0
313,-2612.0
314,-2900.0
315,-2800.0
316,-1860.0
317,-2436.0
318,-1844.0
319,-2304.0
320,-2440.0
321,-1712.0
322,-3332.0
323,-2752.0
324,-2420.0
325,-3240.0
326,-2320.0
327,-2068.0
328,-1.0
329,-1820.0
330,-1664.0
331,-2668.0
332,-1804.0
333,-2948.0
334,-2988.0
335,-2152.0
336,-2956.0
337,-2392.0
338,-1776.0
339,-2276.0
340,-1524.0
341,-2428.0
342,-2084.0
343,-3064.0
344,-3332.0
345,-2368.0
346,-2740.0
347,-3076.0
348,-2080.0
349,-2488.0
350,-2104.0
351,-1788.0
352,-2860.0
353,-1668.0
354,-2984.0
355,-2844.0
356,-2424.0
357,-3236.0
358,-2396.0
359,-1952.0
360,-2036.0
361,-1612.0
362,-2480.0
363,-1564.0
364,-2920.0
365,-3272.0
366,-2364.0
367,-2884.0
368,-2536.0
369,-2224.0
370,-2720.0
371,-1896.0
372,-2316.0
373,-2796.0
374,-1728.0
375,-2952.0
376,-2744.0
377,-2560.0
378,-3524.0
379,-2204.0
380,-2408.0
381,-2348.0
382,-1848.0
383,-2868.0
384,-1692.0
385,-2916.0
386,-2872.0
387,-2120.0
388,-2688.0
389,-3524.0
390,-2116.0
391,-2944.0
392,-1816.0
393,-2468.0
394,-2412.0
395,-1552.0
396,-3180.0
397,-2316.0
398,-2192.0
399,-3568.0
400,-2028.0
401,-2748.0
402,-2248.0
403,-2356.0
404,-2908.0
405,-1332.0
406,-2704.0
407,-3704.0
408,-1976.0
409,-2804.0
410,-3104.0
411,-2312.0
412,-2588.0
413,-1820.0
414,-2340.0
415,-1984.0
416,-1712.0
417,-3444.0
418,-2144.0
419,-2620.0
420,-3536.0
421,-2272.0
422,-3148.0
423,-1988.0
424,-2260.0
425,-2708.0
426,-1540.0
427,-2320.0
428,-3704.0
429,-2324.0
430,-3156.0
431,-2972.0
432,-2336.0
433,-2468.0
434,-2068.0
435,-2432.0
436,-2008.0
437,-2036.0
438,-3576.0
439,-2004.0
440,-2928.0
441,-3260.0
442,-2204.0
443,-2856.0
444,-2140.0
445,-2320.0
446,-2544.0
447,-1488.0
448,-2580.0
449,-3432.0
450,-2208.0
451,-3308.0
452,-2608.0
453,-2432.0
454,-2176.0
455,-2196.0
456,-1976.0
457,-1612.0
458,-2232.0
459,-3480.0
460,-2168.0
461,-2932.0
462,-3168.0
463,-2472.0
464,-2640.0
465,-2472.0
466,-1968.0
467,-2908.0
468,-1164.0
469,-2448.0
470,-2876.0
471,-1992.0
472,-3232.0
473,-2320.0
474,-2648.0
475,-2120.0
476,-1912.0
477,-2492.0
478,-1144.0
479,-2248.0
480,-3168.0
481,-2152.0
482,-3096.0
483,-2972.0
484,-2156.0
485,-3164.0
486,-2356.0
487,-2216.0
488,-3044.0
489,-972.0
490,-2424.0
491,-2536.0
492,-1932.0
493,-3356.0
494,-2396.0
495,-3008.0
496,-2248.0
497,-2076.0
498,-2880.0
499,-960.0
500,-2596.0
501,-3080.0
502,-2068.0
503,-2272.0
504,-2924.0
505,-2328.0
506,-3200.0
507,-2192.0
508,-2288.0
509,-2828.0
510,-1332.0
511,-2640.0
512,-2280.0
513,-2020.0
514,-3108.0
515,-2552.0
516,-3508.0
517,-2528.0
518,-2272.0
519,-3096.0
520,-892.0
521,-2048.0
522,-3140.0
523,-2180.0
524,-2764.0
525,-3000.0
526,-2304.0
527,-3148.0
528,-2140.0
529,-2108.0
530,-2640.0
531,-1780.0
532,-2908.0
533,-1816.0
534,-2376.0
535,-2988.0
536,-2424.0
537,-3380.0
538,-2212.0
539,-2268.0
540,-2096.0
541,-1412.0
542,-2248.0
543,-2772.0
544,-1832.0
545,-2876.0
546,-2812.0
547,-2484.0
548,-2892.0
549,-2528.0
550,-1784.0
551,-2292.0
552,-1928.0
553,-2824.0
554,-1860.0
555,-2740.0
556,-2980.0
557,-2392.0
558,-3500.0
559,-2592.0
560,-2332.0
561,-2784.0
562,-980.0
563,-2352.0
564,-2648.0
565,-1736.0
566,-2992.0
567,-3168.0
568,-2884.0
569,-2612.0
570,-2596.0
571,-2348.0
572,-1628.0
573,-2020.0
574,-2620.0
575,-1580.0
576,-2752.0
577,-3052.0
578,-2440.0
579,-3516.0
580,-2468.0
581,-2204.0
582,-3228.0
583,-1288.0
584,-2416.0
585,-2396.0
586,-1824.0
587,-3140.0
588,-2544.0
589,-3188.0
590,-2648.0
591,-2292.0
592,-2932.0
593,-1640.0
594,-2028.0
595,-2420.0
596,-1552.0
597,-2288.0
598,-2924.0
599,-2528.0
600,-3664.0
601,-2548.0
602,-2592.0
603,-2868.0
604,-1600.0
605,-2832.0
606,-2024.0
607,-1820.0
608,-3148.0
609,-2224.0
610,-3368.0
611,-2632.0
612,-2288.0
613,-3156.0
614,-1592.0
615,-2348.0
616,-2216.0
617,-1628.0
618,-2616.0
619,-2716.0
620,-2904.0
621,-3536.0
622,-2460.0
623,-2740.0
624,-2672.0
625,-1428.0
626,-2688.0
627,-1716.0
628,-2316.0
629,-2932.0
630,-2528.0
631,-3432.0
632,-2520.0
633,-2684.0
634,-3164.0
635,-1812.0
636,-1548.0
637,-2296.0
638,-1620.0
639,-2684.0
640,-2552.0
641,-2812.0
642,-3444.0
643,-2448.0
644,-2656.0
645,-2728.0
646,-1812.0
647,-2480.0
648,-1588.0
649,-2304.0
650,-2780.0
651,-2844.0
652,-3592.0
653,-2548.0
654,-2724.0
655,-2676.0
656,-2216.0
657,-1684.0
658,-2196.0
659,-1504.0
660,-2588.0
661,-2288.0
662,-2776.0
663,-2972.0
664,-2212.0
665,-2652.0
666,-2532.0
667,-1528.0
668,-2252.0
669,-1496.0
670,-2412.0
671,-2572.0
672,-2728.0
673,-3532.0
674,-2368.0
675,-2524.0
676,-3252.0
677,-2244.0
678,-2072.0
679,-1892.0
680,-1696.0
681,-2608.0
682,-2004.0
683,-2868.0
684,-2804.0
685,-2216.0
686,-2712.0
687,-2360.0
688,-1716.0
689,-2168.0
690,-1488.0
691,-2368.0
692,-2176.0
693,-2724.0
694,-3456.0
695,-2500.0
696,-2696.0
697,-3468.0
698,-2024.0
699,-2520.0
700,-1976.0
701,-1804.0
702,-2828.0
703,-1884.0
704,-3404.0
705,-2836.0
706,-2592.0
707,-3216.0
708,-2276.0
709,-2072.0
710,-1984.0
711,-1644.0
712,-2492.0
713,-2440.0
714,-2192.0
715,-3280.0
716,-2424.0
717,-2664.0
718,-3444.0
719,-2236.0
720,-2688.0
721,-2060.0
722,-2064.0
723,-2800.0
724,-1720.0
725,-3416.0
726,-2580.0
727,-2484.0
728,-3648.0
729,-1872.0
730,-2484.0
731,-1984.0
732,-1852.0
733,-2364.0
734,-2152.0
735,-2272.0
736,-3516.0
737,-2132.0
738,-2680.0
739,-3364.0
740,-2364.0
741,-2568.0
742,-1884.0
743,-2324.0
744,-2280.0
745,-1888.0
746,-3404.0
747,-2432.0
748,-2304.0
749,-3600.0
750,-2184.0
751,-2616.0
752,-2348.0
753,-1532.0
754,-2488.0
755,-1980.0
756,-2452.0
757,-3432.0
758,-2184.0
759,-2952.0
760,-3008.0
761,-2140.0
762,-2492.0
763,-1784.0
764,-2336.0
765,-1980.0
766,-2208.0
767,-3480.0
768,-2152.0
769,-2712.0
770,-3584.0
771,-2416.0
772,-1924.0
773,-2268.0
774,-1520.0
775,-2500.0
776,-1760.0
777,-2428.0
778,-3692.0
779,-2416.0
780,-3124.0
781,-2972.0
782,-2000.0
783,-2308.0
784,-1664.0
785,-2200.0
786,-1824.0
787,-2252.0
788,-3464.0
789,-1984.0
790,-2792.0
791,-3384.0
792,-2088.0
793,-2248.0
794,-2344.0
795,-1952.0
796,-2712.0
797,-1668.0
798,-2552.0
799,-3504.0
800,-2160.0
801,-3352.0
802,-2572.0
803,-2212.0
804,-2496.0
805,-1820.0
806,-2200.0
807,-1620.0
808,-2228.0
809,-3824.0
810,-2440.0
811,-2180.0
812,-3620.0
813,-2048.0
814,-2944.0
815,-4097.0
816,-2252.0
817,-2892.0
818,-1312.0
819,-2600.0
820,-2752.0
821,-2216.0
822,-3476.0
823,-2376.0
824,-2396.0
825,-2412.0
826,-1996.0
827,-2212.0
828,-1388.0
829,-1476.0
830,-2964.0
831,-2212.0
832,-2352.0
833,-3400.0
834,-2112.0
835,-3036.0
836,-2216.0
837,-2272.0
838,-2948.0
839,-972.0
840,-2676.0
841,-2468.0
842,-2096.0
843,-3316.0
844,-2208.0
845,-3068.0
846,-2324.0
847,-2112.0
848,-1968.0
849,-2132.0
850,-1768.0
851,-3096.0
852,-2076.0
853,-2320.0
854,-3012.0
855,-2032.0
856,-2996.0
857,-2248.0
858,-2148.0
859,-3004.0
860,-1020.0
861,-2856.0
862,-2260.0
863,-2128.0
864,-3168.0
865,-2132.0
866,-258.0
867,-2664.0
868,-2156.0
869,-2044.0
870,-1812.0
871,-2284.0
872,-3208.0
873,-2028.0
