,0
0,16.0
1,2296.0
2,1404.0
3,-1932.0
4,-744.0
5,424.0
6,-212.0
7,3944.0
8,-4836.0
9,-1208.0
10,5008.0
11,1520.0
12,2620.0
13,-1636.0
14,-2824.0
15,1084.0
16,-648.0
17,764.0
18,3076.0
19,-5116.0
20,788.0
21,3280.0
22,2512.0
23,2008.0
24,-2000.0
25,-1748.0
26,1840.0
27,-2188.0
28,4784.0
29,-5016.0
30,-1856.0
31,5280.0
32,2016.0
33,2572.0
34,-1460.0
35,-2600.0
36,3516.0
37,-3036.0
38,3840.0
39,3844.0
40,-5672.0
41,-408.0
42,3960.0
43,2768.0
44,2440.0
45,-2172.0
46,-2376.0
47,3148.0
48,-3320.0
49,4872.0
50,-4480.0
51,-2784.0
52,5556.0
53,1860.0
54,2696.0
55,-1136.0
56,-2508.0
57,3704.0
58,-2824.0
59,3220.0
60,-1368.0
61,-3876.0
62,4316.0
63,1524.0
64,2820.0
65,664.0
66,-2096.0
67,-2312.0
68,3524.0
69,-3224.0
70,4464.0
71,-3836.0
72,-3024.0
73,5620.0
74,1640.0
75,2540.0
76,-680.0
77,-2396.0
78,4028.0
79,-2208.0
80,2460.0
81,-864.0
82,-3976.0
83,3828.0
84,1788.0
85,2668.0
86,796.0
87,-2428.0
88,1832.0
89,480.0
90,-3116.0
91,3840.0
92,-3408.0
93,-3228.0
94,5588.0
95,1568.0
96,2092.0
97,-324.0
98,-2460.0
99,4400.0
100,-1640.0
101,1456.0
102,-464.0
103,-3952.0
104,3780.0
105,1632.0
106,2172.0
107,904.0
108,-2512.0
109,2064.0
110,588.0
111,-2676.0
112,3032.0
113,-2984.0
114,-2612.0
115,5716.0
116,676.0
117,2104.0
118,-396.0
119,-2448.0
120,4244.0
121,-1212.0
122,1368.0
123,-700.0
124,-3156.0
125,3304.0
126,1768.0
127,1644.0
128,660.0
129,-2404.0
130,2068.0
131,828.0
132,-476.0
133,1656.0
134,-2308.0
135,-1732.0
136,5324.0
137,20.0
138,1948.0
139,-672.0
140,-1748.0
141,3740.0
142,-476.0
143,412.0
144,-188.0
145,-2720.0
146,2792.0
147,1752.0
148,1100.0
149,372.0
150,-1508.0
151,-948.0
152,3828.0
153,-948.0
154,588.0
155,-1376.0
156,-1464.0
157,4456.0
158,-388.0
159,1668.0
160,-548.0
161,-1352.0
162,3336.0
163,92.0
164,-624.0
165,420.0
166,-2732.0
167,-864.0
168,5224.0
169,-920.0
170,1680.0
171,-1516.0
172,-412.0
173,3844.0
174,-332.0
175,-392.0
176,-512.0
177,-2140.0
178,4308.0
179,-248.0
180,1664.0
181,-352.0
182,-1372.0
183,3160.0
184,500.0
185,-580.0
186,300.0
187,-1644.0
188,-1428.0
189,5120.0
190,-972.0
191,1748.0
192,-1360.0
193,-700.0
194,3852.0
195,-124.0
196,-616.0
197,100.0
198,-2456.0
199,3296.0
200,700.0
201,-1012.0
202,1860.0
203,-2124.0
204,76.0
205,3928.0
206,-456.0
207,-28.0
208,-996.0
209,-1960.0
210,4688.0
211,-784.0
212,1960.0
213,-1000.0
214,-1084.0
215,3928.0
216,168.0
217,-720.0
218,352.0
219,-1824.0
220,-1116.0
221,4872.0
222,-992.0
223,2196.0
224,-1844.0
225,-192.0
226,4412.0
227,-560.0
228,-260.0
229,-396.0
230,-2204.0
231,4056.0
232,-624.0
233,1988.0
234,-632.0
235,-1400.0
236,432.0
237,4248.0
238,-720.0
239,392.0
240,-1332.0
241,-1788.0
242,4612.0
243,-1312.0
244,2404.0
245,-1720.0
246,-996.0
247,4568.0
248,-352.0
249,-100.0
250,-12.0
251,-2400.0
252,3148.0
253,-824.0
254,-792.0
255,2288.0
256,-2364.0
257,-408.0
258,5120.0
259,-1092.0
260,860.0
261,-792.0
262,-2304.0
263,3880.0
264,-1640.0
265,2772.0
266,-1092.0
267,-1792.0
268,3816.0
269,672.0
270,736.0
271,332.0
272,-1496.0
273,-1800.0
274,3280.0
275,-1080.0
276,2908.0
277,-2084.0
278,-1640.0
279,5360.0
280,-652.0
281,1804.0
282,-532.0
283,-2748.0
284,3244.0
285,-1964.0
286,2388.0
287,128.0
288,-2644.0
289,2568.0
290,1628.0
291,1292.0
292,964.0
293,-2032.0
294,640.0
295,3384.0
296,-2016.0
297,3060.0
298,-1124.0
299,-2340.0
300,4488.0
301,280.0
302,2396.0
303,-48.0
304,-2252.0
305,1812.0
306,-1676.0
307,1812.0
308,1892.0
309,-3672.0
310,1360.0
311,3168.0
312,1088.0
313,1572.0
314,-1916.0
315,-1088.0
316,692.0
317,-2156.0
318,2736.0
319,108.0
320,-3288.0
321,3328.0
322,1552.0
323,2796.0
324,628.0
325,-2036.0
326,676.0
327,-760.0
328,924.0
329,3296.0
330,-4492.0
331,16.0
332,4120.0
333,1384.0
334,2272.0
335,-384.0
336,-2368.0
337,1844.0
338,-1724.0
339,2060.0
340,1600.0
341,-4396.0
342,2152.0
343,2444.0
344,2656.0
345,1560.0
346,-2248.0
347,-1048.0
348,756.0
349,-728.0
350,4372.0
351,-5176.0
352,-1256.0
353,4948.0
354,1848.0
355,2504.0
356,-1896.0
357,-2784.0
358,2920.0
359,-2944.0
360,1000.0
361,2884.0
362,-5188.0
363,832.0
364,3208.0
365,2908.0
366,1868.0
367,-2200.0
368,-1872.0
369,2188.0
370,-2172.0
371,4544.0
372,-5060.0
373,-1944.0
374,5164.0
375,2312.0
376,2500.0
377,-1572.0
378,-2768.0
379,3676.0
380,-3212.0
381,4088.0
382,-2456.0
383,-3676.0
384,5340.0
385,1412.0
386,2752.0
387,1940.0
388,-2160.0
389,-1888.0
390,3016.0
391,-2868.0
392,4632.0
393,-4744.0
394,-2548.0
395,5424.0
396,2096.0
397,2328.0
398,-1164.0
399,-2716.0
400,3996.0
401,-2520.0
402,3160.0
403,-1736.0
404,-3904.0
405,4644.0
406,1496.0
407,2728.0
408,400.0
409,-2376.0
410,2520.0
411,-396.0
412,20.0
413,4192.0
414,-4160.0
415,-2916.0
416,5684.0
417,1752.0
418,2200.0
419,-880.0
420,-2684.0
421,4480.0
422,-2268.0
423,2420.0
424,-1480.0
425,-3812.0
426,4776.0
427,1416.0
428,2196.0
429,536.0
430,-2632.0
431,2728.0
432,-228.0
433,184.0
434,3568.0
435,-3564.0
436,-2712.0
437,5820.0
438,1096.0
439,2032.0
440,-992.0
441,-2392.0
442,4480.0
443,-1652.0
444,1936.0
445,-1224.0
446,-3316.0
447,4260.0
448,1472.0
449,1680.0
450,544.0
451,-2528.0
452,2480.0
453,112.0
454,24.0
455,964.0
456,-2920.0
457,-2124.0
458,5840.0
459,216.0
460,1948.0
461,-836.0
462,-2092.0
463,4356.0
464,-1084.0
465,952.0
466,-740.0
467,-2472.0
468,3696.0
469,1104.0
470,1572.0
471,276.0
472,-1936.0
473,2400.0
474,604.0
475,-984.0
476,1188.0
477,-1892.0
478,-1652.0
479,5024.0
480,-384.0
481,1932.0
482,-724.0
483,-1432.0
484,3676.0
485,-432.0
486,-176.0
487,-356.0
488,-2332.0
489,3132.0
490,1320.0
491,1028.0
492,480.0
493,-1784.0
494,-532.0
495,3680.0
496,-780.0
497,236.0
498,-1068.0
499,-1812.0
500,4540.0
501,-176.0
502,1632.0
503,-812.0
504,-1524.0
505,3488.0
506,84.0
507,-524.0
508,124.0
509,-2700.0
510,2500.0
511,5280.0
512,-1240.0
513,1952.0
514,-1432.0
515,-412.0
516,3780.0
517,-344.0
518,-296.0
519,-532.0
520,-2152.0
521,3816.0
522,260.0
523,1492.0
524,-436.0
525,-1436.0
526,3440.0
527,484.0
528,-796.0
529,-40.0
530,-1400.0
531,-1352.0
532,5040.0
533,-1244.0
534,2036.0
535,-1220.0
536,-564.0
537,3932.0
538,-228.0
539,-612.0
540,-148.0
541,-2300.0
542,3056.0
543,556.0
544,1424.0
545,-156.0
546,-1584.0
547,2932.0
548,4200.0
549,-528.0
550,-284.0
551,-832.0
552,-1892.0
553,4460.0
554,-992.0
555,2116.0
556,-1044.0
557,-840.0
558,3880.0
559,244.0
560,-784.0
561,396.0
562,-2436.0
563,2340.0
564,1088.0
565,-1336.0
566,2128.0
567,-1776.0
568,-376.0
569,4416.0
570,-584.0
571,-104.0
572,-392.0
573,-2152.0
574,3936.0
575,-1008.0
576,2392.0
577,-556.0
578,-1604.0
579,2924.0
580,1132.0
581,-604.0
582,804.0
583,-2392.0
584,1296.0
585,4576.0
586,-1564.0
587,2664.0
588,-1652.0
589,-1108.0
590,4260.0
591,-116.0
592,336.0
593,160.0
594,-2276.0
595,3220.0
596,-1312.0
597,2180.0
598,536.0
599,-2304.0
600,1752.0
601,2748.0
602,-244.0
603,1016.0
604,-2172.0
605,72.0
606,3776.0
607,-1728.0
608,2528.0
609,-676.0
610,-2044.0
611,3400.0
612,800.0
613,1024.0
614,452.0
615,-2084.0
616,1688.0
617,-960.0
618,1584.0
619,2072.0
620,-3228.0
621,56.0
622,4176.0
623,-364.0
624,2264.0
625,-388.0
626,-2536.0
627,3036.0
628,-1992.0
629,2412.0
630,868.0
631,-2964.0
632,2116.0
633,1972.0
634,1488.0
635,952.0
636,-1964.0
637,-12.0
638,-224.0
639,812.0
640,3180.0
641,-1312.0
642,-2776.0
643,4612.0
644,556.0
645,2912.0
646,36.0
647,-2172.0
648,1548.0
649,-1416.0
650,1640.0
651,2408.0
652,-4084.0
653,1016.0
654,3312.0
655,1704.0
656,1668.0
657,-1884.0
658,-1480.0
659,856.0
660,-456.0
661,4128.0
662,388.0
663,-3660.0
664,3548.0
665,1500.0
666,2900.0
667,676.0
668,-1976.0
669,268.0
670,-436.0
671,756.0
672,3320.0
673,-4728.0
674,-4.0
