,0
0,196.0
1,-11812.0
2,-21120.0
3,-14896.0
4,-17492.0
5,-21800.0
6,-10752.0
7,-18160.0
8,-16496.0
9,-15572.0
10,-20740.0
11,-13048.0
12,-17524.0
13,-16360.0
14,-16644.0
15,-20844.0
16,-14648.0
17,-12564.0
18,-19532.0
19,-15240.0
20,-19452.0
21,-15984.0
22,-12952.0
23,-20540.0
24,-16004.0
25,-18872.0
26,-19760.0
27,-9132.0
28,-21896.0
29,-15600.0
30,-16936.0
31,-18960.0
32,-10688.0
33,-22652.0
34,-14632.0
35,-17308.0
36,-22212.0
37,-9532.0
38,-19760.0
39,-15628.0
40,-15524.0
41,-20968.0
42,-11300.0
43,-20004.0
44,-15120.0
45,-16960.0
46,-21912.0
47,-13000.0
48,-13904.0
49,-18468.0
50,-15448.0
51,-20012.0
52,-14044.0
53,-22528.0
54,-14264.0
55,-17024.0
56,-22652.0
57,-10300.0
58,-18148.0
59,-16216.0
60,-15456.0
61,-21076.0
62,-11296.0
63,-19036.0
64,-15580.0
65,-16928.0
66,-20892.0
67,-14572.0
68,-12392.0
69,-20072.0
70,-15656.0
71,-19732.0
72,-14784.0
73,-14232.0
74,-19580.0
75,-16340.0
76,-18636.0
77,-19132.0
78,-8908.0
79,-22384.0
80,-15252.0
81,-17304.0
82,-18136.0
83,-10892.0
84,-22792.0
85,-14884.0
86,-17196.0
87,-22012.0
88,-9192.0
89,-21384.0
90,-14992.0
91,-16196.0
92,-20764.0
93,-10172.0
94,-21692.0
95,-14420.0
96,-17052.0
97,-22228.0
98,-12360.0
99,-15952.0
100,-17412.0
101,-15720.0
102,-20576.0
103,-12280.0
104,-17156.0
105,-16304.0
106,-17192.0
107,-20316.0
108,-16404.0
109,-11400.0
110,-21184.0
111,-15032.0
112,-19080.0
113,-16156.0
114,-12776.0
115,-20016.0
116,-16444.0
117,-17844.0
118,-19296.0
119,-9788.0
120,-22052.0
121,-14556.0
122,-17696.0
123,-18900.0
124,-10428.0
125,-21844.0
126,-15200.0
127,-16996.0
128,-21240.0
129,-11184.0
130,-19780.0
131,-15588.0
132,-16656.0
133,-19584.0
134,-11796.0
135,-19348.0
136,-15304.0
137,-16900.0
138,-18888.0
139,-11356.0
140,-20548.0
141,-15284.0
142,-17916.0
143,-18424.0
144,-11804.0
145,-20064.0
146,-15628.0
147,-17268.0
148,-20316.0
149,-12160.0
150,-18700.0
151,-16404.0
152,-16940.0
153,-18868.0
154,-13092.0
155,-17696.0
156,-16180.0
157,-17424.0
158,-19996.0
159,-14692.0
160,-15828.0
161,-18032.0
162,-15832.0
163,-18836.0
164,-15572.0
165,-14584.0
166,-17332.0
167,-16900.0
168,-18836.0
169,-16908.0
170,-14200.0
171,-18468.0
172,-15616.0
173,-18380.0
174,-17372.0
175,-12540.0
176,-18908.0
177,-16572.0
178,-18204.0
179,-18400.0
180,-13592.0
181,-18012.0
182,-16656.0
183,-17684.0
184,-18444.0
185,-12820.0
186,-18236.0
187,-15616.0
188,-17792.0
189,-19188.0
190,-14048.0
191,-16600.0
192,-17540.0
193,-16636.0
194,-18672.0
195,-14492.0
196,-15944.0
197,-16852.0
198,-17456.0
199,-18860.0
200,-15636.0
201,-15320.0
202,-18392.0
203,-15948.0
204,-18376.0
205,-16560.0
206,-13064.0
207,-18136.0
208,-16340.0
209,-18180.0
210,-17504.0
211,-14296.0
212,-18064.0
213,-16236.0
214,-18580.0
215,-14728.0
216,-15116.0
217,-16772.0
218,-17124.0
219,-18588.0
220,-16188.0
221,-15028.0
222,-18508.0
223,-16048.0
224,-18736.0
225,-17488.0
226,-12824.0
227,-18864.0
228,-16360.0
229,-17828.0
