,0
0,-16812.0
1,-16104.0
2,-14792.0
3,-16624.0
4,-16212.0
5,-15724.0
6,-15580.0
7,-14280.0
8,-15292.0
9,-16320.0
10,-16220.0
11,-16168.0
12,-14804.0
13,-16256.0
14,-16148.0
15,-15596.0
16,-16144.0
17,-14628.0
18,-14648.0
19,-16244.0
20,-15696.0
21,-16456.0
22,-15436.0
23,-16036.0
24,-16172.0
25,-15492.0
26,-16452.0
27,-15072.0
28,-14700.0
29,-16300.0
30,-15388.0
31,-16952.0
32,-15688.0
33,-14492.0
34,-16708.0
35,-16260.0
36,-15604.0
37,-15468.0
38,-14496.0
39,-15716.0
40,-15832.0
41,-16804.0
42,-15956.0
43,-14608.0
44,-16392.0
45,-16148.0
46,-15412.0
47,-16056.0
48,-14764.0
49,-15196.0
50,-15860.0
51,-16020.0
52,-16096.0
53,-15224.0
54,-16316.0
55,-16336.0
56,-15640.0
57,-16328.0
58,-14544.0
59,-14492.0
60,-16304.0
61,-15720.0
62,-16820.0
63,-15468.0
64,-15524.0
65,-16280.0
66,-15560.0
67,-16520.0
68,-14516.0
69,-14548.0
70,-16568.0
71,-14964.0
72,-16920.0
73,-15272.0
74,-15124.0
75,-16768.0
76,-16000.0
77,-16988.0
78,-14764.0
79,-14324.0
80,-16324.0
81,-14500.0
82,-16832.0
83,-15688.0
84,-15112.0
85,-16876.0
86,-15832.0
87,-16692.0
88,-14780.0
89,-14140.0
90,-16472.0
91,-14668.0
92,-17092.0
93,-15644.0
94,-14804.0
95,-16716.0
96,-16144.0
97,-16608.0
98,-14768.0
99,-14060.0
100,-16032.0
101,-14608.0
102,-17112.0
103,-15828.0
104,-15252.0
105,-16240.0
106,-16132.0
107,-16188.0
108,-14572.0
109,-15332.0
110,-14868.0
111,-16368.0
112,-14392.0
113,-16576.0
114,-15528.0
115,-15228.0
116,-17072.0
117,-15492.0
118,-16876.0
119,-14628.0
120,-14412.0
121,-16300.0
122,-14200.0
123,-17312.0
124,-15648.0
125,-15204.0
126,-16404.0
127,-15392.0
128,-17332.0
129,-14416.0
130,-14844.0
131,-16412.0
132,-13848.0
133,-17064.0
134,-15380.0
135,-15996.0
136,-15368.0
137,-15996.0
138,-17512.0
139,-14620.0
140,-15044.0
141,-15848.0
142,-14512.0
143,-16676.0
144,-15924.0
145,-15932.0
146,-14424.0
147,-16460.0
148,-16700.0
149,-14808.0
150,-14960.0
151,-15532.0
152,-15344.0
153,-15932.0
154,-16104.0
155,-15680.0
156,-14552.0
157,-17044.0
158,-15604.0
159,-15536.0
160,-14556.0
161,-15208.0
162,-16396.0
163,-14716.0
164,-17060.0
165,-15884.0
166,-14912.0
167,-17020.0
168,-14504.0
169,-16984.0
170,-14540.0
171,-15868.0
172,-17448.0
173,-13500.0
174,-17248.0
175,-15288.0
176,-15448.0
177,-16684.0
178,-14260.0
179,-18236.0
180,-14360.0
181,-16272.0
182,-17196.0
183,-12832.0
184,-17792.0
185,-15092.0
186,-15980.0
187,-15832.0
188,-16484.0
189,-16548.0
190,-15244.0
191,-14608.0
192,-15256.0
193,-16860.0
194,-14956.0
195,-16288.0
196,-16100.0
197,-14636.0
198,-16748.0
199,-15016.0
200,-16352.0
201,-13984.0
202,-15592.0
203,-18108.0
204,-13764.0
205,-17268.0
206,-15548.0
207,-15012.0
208,-16416.0
