,0
0,-16240.0
1,-14004.0
2,-16844.0
3,-15444.0
4,-15476.0
5,-16312.0
6,-15408.0
7,-17424.0
8,-14452.0
9,-15352.0
10,-16052.0
11,-14232.0
12,-17208.0
13,-15428.0
14,-15632.0
15,-15020.0
16,-15716.0
17,-17828.0
18,-14540.0
19,-15276.0
20,-15604.0
21,-16748.0
22,-14160.0
23,-17144.0
24,-15296.0
25,-15340.0
26,-16580.0
27,-14456.0
28,-17888.0
29,-14620.0
30,-16176.0
31,-16820.0
32,-13268.0
33,-17192.0
34,-15052.0
35,-16020.0
36,-15772.0
37,-14744.0
38,-18536.0
39,-14376.0
40,-16076.0
41,-15696.0
42,-13556.0
43,-17220.0
44,-15052.0
45,-16320.0
46,-14832.0
47,-15236.0
48,-18368.0
49,-14296.0
50,-15800.0
51,-15000.0
52,-14752.0
53,-16444.0
54,-15032.0
55,-16700.0
56,-14428.0
57,-16280.0
58,-17084.0
59,-14756.0
60,-14832.0
61,-14688.0
62,-16552.0
63,-15184.0
64,-15740.0
65,-16548.0
66,-14440.0
67,-16280.0
68,-16232.0
69,-15548.0
70,-14196.0
71,-15368.0
72,-17812.0
73,-14548.0
74,-16436.0
75,-16076.0
76,-14956.0
77,-16408.0
78,-15244.0
79,-16444.0
80,-13888.0
81,-15980.0
82,-17720.0
83,-13772.0
84,-16856.0
85,-15660.0
86,-15548.0
87,-16116.0
88,-14580.0
89,-17440.0
90,-14048.0
91,-16328.0
92,-17164.0
93,-13592.0
94,-17424.0
95,-14940.0
96,-15700.0
97,-15744.0
98,-14848.0
99,-18280.0
100,-14660.0
101,-16148.0
102,-15836.0
103,-13588.0
104,-17376.0
105,-14716.0
106,-15900.0
107,-15096.0
108,-15160.0
109,-15936.0
110,-16124.0
111,-14400.0
112,-15988.0
113,-17072.0
114,-14508.0
115,-16012.0
116,-15396.0
117,-15168.0
118,-16628.0
119,-15172.0
120,-16732.0
121,-14244.0
122,-16004.0
123,-16688.0
124,-14192.0
125,-16660.0
126,-15168.0
127,-15364.0
128,-16252.0
129,-14868.0
130,-17468.0
131,-14856.0
132,-15780.0
133,-16196.0
134,-14180.0
135,-16812.0
136,-14932.0
137,-15336.0
138,-16088.0
139,-15260.0
140,-17668.0
141,-15148.0
142,-15280.0
143,-16084.0
144,-14696.0
145,-17008.0
146,-14920.0
147,-15092.0
148,-15472.0
149,-15620.0
150,-17576.0
151,-15516.0
152,-14856.0
153,-16004.0
154,-15536.0
155,-16880.0
156,-14820.0
157,-14764.0
158,-15776.0
159,-15896.0
160,-17264.0
161,-15432.0
